,Unnamed: 0,NTA_Unq_ID,ntacode,ntaname,pct_buildings_coolRoof,pct_Area_coolRoof,Heat_Vulnerability,pct_imp,pct_permeable,pct_trees,Avg_dist_to_parks_ft,ST_20130601,ST_20140807,ST_20160609,ST_20160618,ST_20160625,ST_20170612,ST_20190830,ST_20190922,ST_20200613,ST_20200706,ST_20210623,ST_20210826,ST_20220509,ST_20220619,ST_20220704,ST_20220720,ST_20220914,ST_20220915,ST_20230723,ST_20230731,ST_20230809,ST_20230901,ST_20230902,NTA_MRT_Mean,NTA_PCT_MRT_Less_Than_110
0,0,1,BK43,Midwood,23.36204077183037,38.78930086494434,3.0,70.74200560441358,4.906307442962698,23.305711398528608,2899.809771,108.86609649658205,99.31155395507812,86.93167877197266,105.8415985107422,101.5197525024414,112.25601196289062,96.55260467529295,93.10375213623048,100.4127197265625,117.42761993408205,94.70310974121094,105.5677490234375,80.68878936767578,93.19464874267578,111.8027572631836,117.18816375732422,89.58757019042969,89.28958892822266,109.2048797607422,105.73826599121094,104.20418548583984,91.99835968017578,95.90706634521484,121.8318392232112,0.420823599149202
1,1,2,BK75,Bedford,54.76302944418202,49.25159107,5.0,76.66041262371427,2.6967083734985287,20.338367828981934,2230.593308,110.5491180419922,98.34367370605467,85.64748383,106.3700942993164,102.65713500976562,111.52694702148438,95.89239501953124,92.18438720703124,99.30359649658205,116.51262664794922,91.92785645,104.90479278564452,79.38144684,91.81365203857422,109.1417465209961,113.62252044677734,87.08189392089844,85.98593139648438,107.1900634765625,104.87362670898438,101.98054504394533,88.30848693847656,93.51827239990234,122.55572107426336,0.410811633329239
2,2,3,BX40,Fordham South,56.16438356164384,63.2818428,5.0,86.73946318496745,1.2520642303381206,10.439904718175338,1398.19922,112.64207458496094,99.65876770019533,86.22050476074219,106.10702514648438,105.73988342285156,112.86576080322266,95.77411651611328,92.56361389160156,98.06821442,116.53326416015624,92.07577514648438,107.08289337158205,80.49933624267578,91.84816742,108.70868682861328,116.64635467529295,87.04993438720703,84.24797821044922,106.13577270507812,103.6781768798828,102.14740753173828,87.68914794921875,94.17588043,128.40730759687258,0.29927995551849
3,3,4,BK88,Borough Park,36.19766845076619,39.61690144893651,4.0,76.42005480620185,5.0183057521162455,17.383556268378864,2896.372616,109.85215759277344,99.67965698242188,87.67041016,106.16374206542967,103.6097183227539,113.11437225341795,97.6085434,93.70605469,100.95280456542967,119.22817993164062,95.01070404052734,106.1575927734375,82.25222015,91.51045227,112.3134536743164,118.1662598,89.97460174560547,88.83384704589844,109.89997100830078,107.25698852539062,104.88224792480467,92.92013549804688,96.29810333251952,124.83296952379516,0.355639643066402
4,4,5,BK96,Rugby-Remsen Village,50.65880721220527,58.43807876573687,5.0,82.57243789,3.379851364119841,13.758707648054475,2039.075504,109.7237777709961,99.36333465576172,85.50557708740234,105.5228500366211,102.49874114990234,112.07012939453124,96.24198150634766,93.32975006103516,99.56879425048828,118.13809204101562,93.35309600830078,106.4732437133789,79.19171905517578,91.75550079345705,110.92420196533205,116.91283416748048,88.53450775146484,87.47974395751953,108.8991241455078,105.56731414794922,102.77409362792967,90.93025970458984,95.01230621,128.15808885399792,0.270161704635565
5,5,6,QN52,East Flushing,15.31332744924978,20.444681265468905,2.0,61.02491476118086,17.730062268760488,21.01452650771576,1979.237596,108.50677490234376,99.67284393310548,87.82009887695312,106.46078491210938,102.37017059326172,112.60359954833984,96.90720367,93.99026489257812,99.48951721191406,118.71215057373048,94.21918487548828,105.984375,80.6866684,92.84556579589844,111.26412200927734,112.80064392089844,89.3112793,87.06573486328125,107.6120376586914,106.33100128173828,103.80201721191406,90.30283356,95.77245330810548,124.05830942123548,0.322663552160484
6,6,7,QN53,Woodhaven,34.46534734098868,41.42471803,3.0,76.89209414,3.943896105103502,18.19204486942974,2433.220261,108.15592193603516,100.56642150878906,88.01857758,105.83041381835938,91.00938415527344,113.88477325439452,97.17223358154295,92.61141967773438,99.56008911132812,117.47673797607422,94.21771240234376,105.9411849975586,80.20155334472656,92.79624176,109.9035186767578,115.71578979492188,90.13793182373048,87.79312133789062,108.43148803710938,107.3547363,102.84365844726562,91.00776672,96.28729248046876,126.05668776133436,0.328372905225554
7,7,8,BK44,Madison,31.012228260869566,39.02609141418784,2.0,75.25126644,5.128722295961414,18.62513764124435,2578.735223,108.70478057861328,99.36836243,86.36420440673828,104.0874023,101.07743072509766,111.6466064453125,96.00880432128906,92.02000427246094,100.09603118896484,116.32959747314452,94.13159942626952,104.94918823242188,79.39207458496094,92.59326172,110.1471176147461,116.5054168701172,89.63301849365234,89.21103668,108.18108367919922,105.59931182861328,103.05836486816406,92.10623168945312,94.96992493,124.76038383888732,0.348971739147715
8,8,9,QN48,Auburndale,14.425822470515207,17.85113897743404,2.0,61.44509677726033,15.675814120642691,22.46805813281087,2011.763575,109.1494369506836,100.66423797607422,88.50096893310547,107.64441680908205,103.10083770751952,113.09408569335938,97.95510101,94.53923034667967,99.45107269,118.9973373413086,94.76887512207033,106.28845977783205,81.34004974365234,93.35321044921876,111.34053802490234,113.43557739257812,90.16322326660156,88.18524932861328,108.02394104003906,107.00276947021484,104.50164031982422,90.83589935302734,96.41575622558594,123.8755404401148,0.335269865888551
9,9,10,BX44,Williamsbridge-Olinville,38.12013618677043,42.16071754178023,5.0,74.89980219270312,7.950972941083541,15.901231442134394,3491.090968,112.56805419921876,101.0261688232422,87.55850219726562,107.15714263916016,106.22373962402344,113.80249786376952,96.42014313,94.01433563232422,98.04249572753906,117.04582977294922,94.13923645019533,107.76721954345705,81.81629943847656,92.18118286132812,109.98475646972656,119.21929931640624,87.98233032226562,85.16262817382812,107.33658599853516,104.16272735595705,102.9813461303711,88.66959381103516,95.47454071044922,127.03276185058344,0.294914497878038
