,NTA_Unq_ID,Air_temp_raster_20130601,Air_temp_raster_20140807,Air_temp_raster_20160609,Air_temp_raster_20160618,Air_temp_raster_20160625,Air_temp_raster_20170612,Air_temp_raster_20190830,Air_temp_raster_20190922,Air_temp_raster_20200613,Air_temp_raster_20200706,Air_temp_raster_20210623,Air_temp_raster_20210826,Air_temp_raster_20220509,Air_temp_raster_20220619,Air_temp_raster_20220704,Air_temp_raster_20220720,Air_temp_raster_20220914,Air_temp_raster_20220915,Air_temp_raster_20230723,Air_temp_raster_20230731,Air_temp_raster_20230809,Air_temp_raster_20230901,Air_temp_raster_20230902,Air_Heat_Index_outputs20130601,Air_Heat_Index_outputs20140807,Air_Heat_Index_outputs20160609,Air_Heat_Index_outputs20160618,Air_Heat_Index_outputs20160625,Air_Heat_Index_outputs20170612,Air_Heat_Index_outputs20190830,Air_Heat_Index_outputs20190922,Air_Heat_Index_outputs20200613,Air_Heat_Index_outputs20200706,Air_Heat_Index_outputs20210623,Air_Heat_Index_outputs20210826,Air_Heat_Index_outputs20220509,Air_Heat_Index_outputs20220619,Air_Heat_Index_outputs20220704,Air_Heat_Index_outputs20220720,Air_Heat_Index_outputs20220914,Air_Heat_Index_outputs20220915,Air_Heat_Index_outputs20230723,Air_Heat_Index_outputs20230731,Air_Heat_Index_outputs20230809,Air_Heat_Index_outputs20230901,Air_Heat_Index_outputs20230902
0,1,82.74320505009477,84.05092404549147,75.78308624424587,80.7496953696182,81.56316849444896,88.87672623883022,78.79497529109125,78.06069760357433,83.9195268074736,89.8439023151909,81.61835736528568,80.81764486867046,75.70388234497699,80.9559978337395,83.92804799620905,85.9467066070945,78.39477558895207,75.99917072840509,86.65213748984566,82.63523050365556,80.44350798808557,80.43953933116707,82.08683658272408,84.6042174796748,75.54459688346884,65.64341971544715,78.61944444444444,76.1082147696477,83.29856201006469,74.18555216802169,72.20097391598917,84.6372798102981,81.99329268292684,73.18261348238482,78.30619918699188,56.134396172086724,72.47799796747968,81.00979844173442,82.9380843495935,70.32016006097561,80.10046578590786,81.57771849593496,78.62819275067751,77.12483062330624,71.69889058265582,73.65913787262873
1,2,83.79417111902642,82.82432658058771,75.69957702582369,81.2090197387949,81.77369026417334,89.02402419115465,78.7337303354111,77.9922733006827,84.1595428910656,90.07897373107747,80.17299272781241,80.71270221133868,75.20059735826655,79.86544597803503,82.49923938854259,84.92393885425942,78.06277827248442,75.71005398486197,84.08092163846838,82.56749962897003,80.17430060848916,78.18117393885426,81.38824577025824,86.83630686886708,75.27446197591436,64.73606155218555,79.38779549509367,77.02083333333333,83.05439097222707,73.72183968926554,72.16438076122509,84.46208742194469,81.93403397264348,71.44414399345823,77.98524382991377,56.309740187332736,71.11796573000298,80.14239518287243,82.79503047873922,66.55035496580435,78.77541443651502,80.04252155813262,78.06684879571812,76.67537355040143,68.82283303597978,72.61677631578948
2,3,84.28260817307692,84.69896033653846,76.24105769230769,80.791875,84.0259375,89.0425,78.67037259615384,77.68717548076923,82.38871394230769,89.85939302884616,80.23264423076922,81.39751802884615,75.61590144230769,79.50964543269231,82.51943509615384,85.78448317307692,77.87426682692308,75.3571514423077,82.97758413461538,81.75310096153846,80.06838341346153,77.87057091346153,81.83860576923077,87.26440279907976,75.47300373849693,61.87405938458589,78.67891463765338,78.75775258819019,83.3721287850222,73.78941597967791,72.1517925613497,83.88090730444786,82.02795485046012,72.57865222392638,81.00433761503068,56.09906417753067,72.440106163727,80.16371501150307,82.89783838190183,66.0398413535276,76.79616804064418,78.87212423312883,76.91971218366564,76.18730828220859,67.94604342407976,73.18237154907976
3,4,82.98423761887673,83.87480934864526,75.73556657096717,80.76283532208865,81.74444868114122,88.99447111071237,78.90004822357797,78.13181298223579,83.87261685806567,90.83695383994258,81.26611003947605,80.91844607931097,75.92551700161493,79.76532500448592,83.88883343800467,86.315101830253,78.48693477480711,75.80875986901131,85.76374371972008,83.6493585142652,80.48435537412524,80.22763211017406,81.8973062085053,85.39841926943099,75.46471683719261,66.42732453778495,78.49422792137857,76.50374708310896,83.24150905222251,74.28337035541196,72.33244704720876,84.37434369951535,82.03956874887812,72.63886645126549,78.38896181116496,57.04968811703464,69.95172545323999,80.83697383773111,82.9556183809011,69.72506619098905,79.56741383952611,81.29567739185066,79.19946486268175,77.39861559863579,71.47868425776342,73.6298240890325
4,5,83.3484977744807,84.00257789317507,75.74633716617211,80.87210682492582,81.72711424332344,88.90570289317508,78.82561201780416,78.11337166172108,83.57183790801187,90.44852559347181,81.03274295252226,81.38074925816024,75.35160422848665,80.18199183976262,83.54720882789317,85.7469028189911,78.15070474777448,75.90135385756676,86.61285237388724,83.12713278931751,80.31483679525222,79.53558976261128,81.76165615727002,86.17116666666666,75.52998148148149,62.57764814814815,78.66894444444445,76.4655462962963,83.27060761628327,74.35634722222223,72.3964537037037,84.60893518518519,82.05021296296296,72.61599074074074,79.80731481481482,56.06605555555556,71.75457407407407,80.85510185185186,83.00802777777778,69.54872222222222,79.22509259259259,81.48359259259259,78.69514814814815,76.48307407407407,71.48455555555556,73.64849074074074
5,6,82.0861355778729,82.86790521073428,75.57439496213368,81.07129259960487,81.32434351333553,88.17485388541324,78.57067006914718,78.23632490945012,83.29919019591702,90.30191183733947,80.15703202173198,81.24508149489628,75.1031445505433,80.00429597464603,82.89380968060586,83.59641504774449,78.1108927395456,75.44565463450773,83.96757696740204,82.7162444435298,80.40849831247942,79.0044503210405,80.98021793710899,82.01676603618421,75.18817845394737,67.2785310444079,78.5503083881579,75.69975328947369,82.46673076529252,73.6929995888158,72.04067639802632,84.08461657072368,81.78608141447368,71.40478001644736,78.38549033717105,55.846731085526315,71.3563168174342,80.55768400493422,81.77616159539474,68.68638466282894,78.38863075657895,79.77034333881579,78.39772820723684,76.85407586348684,69.91837993421052,72.20383429276316
6,7,81.92790792922673,83.62152686762778,75.8790629095675,80.68517365661862,79.06858617300131,88.93930209698559,78.64608453473133,77.70079456094365,82.56974115334206,89.81441677588467,80.66289318479686,80.90575032765399,75.16880733944954,79.97418086500656,82.98795871559633,84.58854849279162,78.61671035386632,75.83654161205767,84.51603866317168,85.05637287024902,79.91951998689385,79.02194462647444,81.41672673656619,81.75183486238532,74.70992791612058,64.0637737549148,78.02703145478375,70.43730340760158,82.94780030456783,73.40185124508518,71.23457568807339,83.47703145478374,81.6036615334207,69.76071428571429,77.96548165137615,56.00001638269987,69.96058322411534,80.14678899082568,82.27030635648755,69.46689056356487,78.24994266055046,80.05247378768021,78.95927260812581,75.7899000655308,67.90484108781128,72.86304062909568
7,8,82.33857304216868,83.50643936038271,75.58257109319632,80.23538270729979,81.41619972537208,88.83899937987243,78.65889661587526,77.62533221119773,84.40903503720766,89.6094912739192,81.25560883238838,80.61046022324592,74.95263775691,80.45650248051028,82.79431143692416,85.65035878809356,78.37807849043232,75.86956281006378,85.35155142629341,82.4327881378455,80.20290352586818,80.42024716513112,81.66696934798016,83.83573845541402,75.59231245576787,65.06494382519462,77.05026981599434,76.01299871726822,82.82364475009969,73.75195174274593,71.97316215498938,84.71776583510263,81.89003339525831,72.18633890658174,77.64581121726822,56.00375973106865,71.23466250884643,80.48579042816702,82.90883205060156,70.27109872611464,80.09114030431705,80.7136301309271,78.34884222399151,76.56416976291578,71.43072695506015,73.24344811571125
8,9,82.66718617172003,83.89821833380562,75.70246528761689,81.4955192689147,81.50927139416265,88.5285668744687,79.0713906205724,78.14791725701332,83.52329803060357,90.32047853499574,81.61558692264097,81.22438190705583,75.45864621705866,80.68726090960612,83.45427174837064,84.42419063474073,78.36150467554548,75.61250531311987,84.42396039954662,82.85374752054406,80.25466669028053,78.858281382828,82.05828492490791,84.77672487223168,75.39707552526973,67.00715591283361,80.18670144804089,76.30302385008518,82.76274328973739,74.83221536059057,72.9160411342987,84.68244250425894,82.02053165814878,72.13063422771152,79.0244179443498,56.01371734809767,71.02540282509938,80.70893668370245,82.59693533503692,68.82648353208404,79.55228740772289,79.9688653463941,79.3785313742192,76.81777044293015,70.64837095400341,73.85786218767745
9,10,83.97046933709072,84.09862285292539,76.04372148416533,81.2452026301664,82.90235842726784,88.26721014492753,78.64943974771873,77.93912707997853,82.21561325818573,89.09878220611917,81.3124329039184,81.97719571927,75.49677100107354,79.74140331454643,83.16391572732152,86.55574006977993,78.04463566827697,75.9405193236715,83.4891555958132,81.75049483360172,79.93951288244766,77.98572530864197,81.63226315083199,86.18991731128301,75.25282575353428,63.40805048012803,79.87903440917577,78.97088390237397,82.31547908421739,73.87126567084556,72.35936249666578,83.43860029341158,81.78535942918111,71.17451320352095,81.76250333422246,56.321477393971726,69.31710122699387,80.34733428914377,82.86607261936517,64.67978127500668,78.18564950653507,78.98999733262204,76.74475693518272,75.88897039210457,69.45971425713523,72.94466857828755
