0,type,date,download_url,name,ranges,tiles
Air_Heat_Index_outputs20220914.tif,Air_Heat_Index,20220914,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_Heat_Index_outputs20220914.tif,Air_Heat_Index_outputs20220914.tif,"[54.98, 60.65, 66.31, 71.98, 77.65]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_Heat_Index_outputs20220914.pmtiles
Air_Heat_Index_outputs20220915.tif,Air_Heat_Index,20220915,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_Heat_Index_outputs20220915.tif,Air_Heat_Index_outputs20220915.tif,"[69.17, 73.14, 77.12, 81.09, 85.07]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_Heat_Index_outputs20220915.pmtiles
Air_Heat_Index_outputs20230723.tif,Air_Heat_Index,20230723,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_Heat_Index_outputs20230723.tif,Air_Heat_Index_outputs20230723.tif,"[54.98, 61.96, 68.94, 75.92, 82.9]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_Heat_Index_outputs20230723.pmtiles
Air_Heat_Index_outputs20230731.tif,Air_Heat_Index,20230731,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_Heat_Index_outputs20230731.tif,Air_Heat_Index_outputs20230731.tif,"[54.97, 61.85, 68.72, 75.59, 82.46]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_Heat_Index_outputs20230731.pmtiles
Air_Heat_Index_outputs20230809.tif,Air_Heat_Index,20230809,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_Heat_Index_outputs20230809.tif,Air_Heat_Index_outputs20230809.tif,"[54.97, 61.72, 68.47, 75.22, 81.97]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_Heat_Index_outputs20230809.pmtiles
Air_Heat_Index_outputs20230901.tif,Air_Heat_Index,20230901,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_Heat_Index_outputs20230901.tif,Air_Heat_Index_outputs20230901.tif,"[54.97, 61.46, 67.96, 74.45, 80.94]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_Heat_Index_outputs20230901.pmtiles
Air_Heat_Index_outputs20230902.tif,Air_Heat_Index,20230902,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_Heat_Index_outputs20230902.tif,Air_Heat_Index_outputs20230902.tif,"[54.97, 62.56, 70.15, 77.73, 85.32]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_Heat_Index_outputs20230902.pmtiles
Air_temp_raster_20130601.tif,Air_temp_raster,20130601,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20130601.tif,Air_temp_raster_20130601.tif,"[68.94, 73.58, 78.22, 82.86, 87.5]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20130601.pmtiles
Air_temp_raster_20140807.tif,Air_temp_raster,20140807,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20140807.tif,Air_temp_raster_20140807.tif,"[70.19, 75.56, 80.93, 86.3, 91.67]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20140807.pmtiles
Air_temp_raster_20160609.tif,Air_temp_raster,20160609,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20160609.tif,Air_temp_raster_20160609.tif,"[60.33, 65.18, 70.03, 74.87, 79.72]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20160609.pmtiles
Air_temp_raster_20160618.tif,Air_temp_raster,20160618,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20160618.tif,Air_temp_raster_20160618.tif,"[68.83, 73.5, 78.17, 82.84, 87.5]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20160618.pmtiles
Air_temp_raster_20160625.tif,Air_temp_raster,20160625,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20160625.tif,Air_temp_raster_20160625.tif,"[69.87, 75.1, 80.34, 85.57, 90.81]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20160625.pmtiles
Air_temp_raster_20170612.tif,Air_temp_raster,20170612,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20170612.tif,Air_temp_raster_20170612.tif,"[70.12, 75.59, 81.06, 86.53, 92.01]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20170612.pmtiles
Air_temp_raster_20190830.tif,Air_temp_raster,20190830,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20190830.tif,Air_temp_raster_20190830.tif,"[69.05, 72.81, 76.57, 80.33, 84.08]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20190830.pmtiles
Air_temp_raster_20190922.tif,Air_temp_raster,20190922,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20190922.tif,Air_temp_raster_20190922.tif,"[69.72, 73.24, 76.76, 80.27, 83.79]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20190922.pmtiles
Air_temp_raster_20200613.tif,Air_temp_raster,20200613,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20200613.tif,Air_temp_raster_20200613.tif,"[70.12, 75.22, 80.32, 85.42, 90.52]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20200613.pmtiles
Air_temp_raster_20200706.tif,Air_temp_raster,20200706,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20200706.tif,Air_temp_raster_20200706.tif,"[71.53, 76.65, 81.77, 86.89, 92.01]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20200706.pmtiles
Air_temp_raster_20210623.tif,Air_temp_raster,20210623,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20210623.tif,Air_temp_raster_20210623.tif,"[70.12, 74.92, 79.72, 84.52, 89.32]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20210623.pmtiles
Air_temp_raster_20210826.tif,Air_temp_raster,20210826,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20210826.tif,Air_temp_raster_20210826.tif,"[70.54, 75.05, 79.57, 84.09, 88.6]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20210826.pmtiles
Air_temp_raster_20220509.tif,Air_temp_raster,20220509,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20220509.tif,Air_temp_raster_20220509.tif,"[70.12, 73.57, 77.02, 80.47, 83.92]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20220509.pmtiles
Air_temp_raster_20220619.tif,Air_temp_raster,20220619,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20220619.tif,Air_temp_raster_20220619.tif,"[70.12, 74.0, 77.87, 81.74, 85.61]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20220619.pmtiles
Air_temp_raster_20220704.tif,Air_temp_raster,20220704,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20220704.tif,Air_temp_raster_20220704.tif,"[69.05, 73.67, 78.28, 82.89, 87.5]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20220704.pmtiles
Air_temp_raster_20220720.tif,Air_temp_raster,20220720,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20220720.tif,Air_temp_raster_20220720.tif,"[70.43, 74.7, 78.97, 83.24, 87.5]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20220720.pmtiles
Air_temp_raster_20220914.tif,Air_temp_raster,20220914,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20220914.tif,Air_temp_raster_20220914.tif,"[71.1, 74.7, 78.3, 81.9, 85.5]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20220914.pmtiles
Air_temp_raster_20220915.tif,Air_temp_raster,20220915,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20220915.tif,Air_temp_raster_20220915.tif,"[69.17, 72.22, 75.28, 78.33, 81.39]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20220915.pmtiles
Air_temp_raster_20230723.tif,Air_temp_raster,20230723,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20230723.tif,Air_temp_raster_20230723.tif,"[70.72, 75.75, 80.77, 85.79, 90.81]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20230723.pmtiles
Air_temp_raster_20230731.tif,Air_temp_raster,20230731,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20230731.tif,Air_temp_raster_20230731.tif,"[69.88, 75.11, 80.34, 85.57, 90.81]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20230731.pmtiles
Air_temp_raster_20230809.tif,Air_temp_raster,20230809,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20230809.tif,Air_temp_raster_20230809.tif,"[69.52, 73.97, 78.43, 82.89, 87.35]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20230809.pmtiles
Air_temp_raster_20230901.tif,Air_temp_raster,20230901,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20230901.tif,Air_temp_raster_20230901.tif,"[70.22, 74.96, 79.7, 84.45, 89.19]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20230901.pmtiles
Air_temp_raster_20230902.tif,Air_temp_raster,20230902,https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20230902.tif,Air_temp_raster_20230902.tif,"[70.68, 75.37, 80.06, 84.76, 89.45]",https://urban-heat-portal-tiles.s3.us-east-1.amazonaws.com/Air_temp_raster_20230902.pmtiles
