metric,date,type,downloads,downloads_2,QN60,BK17,BK75,SI36,MN21,BK40,BK63,QN45,QN72,QN17,SI99,MN40,QN28,SI08,BX27,QN41,BX01,BK85,BK19,BK77,BX62,SI14,BX09,MN35,QN47,QN62,BK91,BX52,BX33,QN29,SI05,BK44,BX75,QN66,MN01,BX06,BK33,BK81,MN31,QN21,QN52,BK93,BX10,MN28,QN56,BK46,BX49,MN33,BK64,QN51,BK83,QN49,BX26,MN36,BX39,MN17,BK31,BK61,BX36,QN20,BX37,BK29,QN99,BK34,QN26,SI48,MN32,BX14,QN68,QN02,QN10,BX99,QN44,QN38,MN50,QN19,BK88,BK09,QN50,QN70,SI07,QN37,BX44,BX07,BK35,BX63,BX41,QN43,MN03,MN12,BK73,BK28,MN22,QN07,BK79,BX55,QN34,QN03,MN06,BK45,BK90,QN27,SI35,SI45,BK30,SI54,BK27,QN76,BX34,BX31,MN09,BK78,MN13,BX59,QN25,BK95,BK58,BX29,BK76,BK72,BX35,QN22,MN15,MN27,MN04,MN99,MN24,BK23,BX22,QN53,SI28,BK43,BX43,MN20,BK21,BK82,SI24,QN23,SI12,MN19,BK38,MN23,QN30,BX98,QN35,BX40,BX03,BX30,BX08,SI25,BK69,BX28,BK26,SI37,QN46,BK32,QN61,QN55,BK41,QN71,SI22,BX05,BX13,MN25,QN63,QN01,SI32,BK68,QN31,QN05,BK37,QN15,MN14,QN57,QN48,QN18,BK42,BK96,BX46,QN54,QN08,BX17,QN98,SI01,BK99,MN11,QN33,QN06,BK60,SI11,BK25,MN34,QN12,BK50,QN42
PCT_BUILDINGS_COOLROOF,,,,,20.88633566,44.04644931,54.76302944,6.873090808,35.13189448,69.89944859,55.98480051,9.247106551,59.20207254,28.60159324,9.090909091,26.40532544,50.42791936,11.34140661,49.10374796,11.56279962,49.59053685,55.90146183,46.26019142,64.97186105,25.92592593,7.522813265,33.6764997,60.80786026,38.02788845,31.63489736,34.84624096,31.68485065,56.59751037,40.59633028,11.16216216,31.01222826,43.96177237,7.998120301,50.29585799,51.93855157,66.2998881,39.4057377,36.28608924,55.97127109,15.31332745,48.96551724,24.40540961,49.74619289,26.0200154,25.80979528,25.47747748,54.24063116,65.56219446,18.13602015,52.54354437,20.22461567,49.28716904,65.24105754,53.38314653,7.869187532,49.5618595,60.77336198,46.18055556,69.80250997,35.380293,53.05187693,21.94656489,66.4352923,46.12418831,3.492063492,44.17067308,56.32107023,55.27511358,4.540295119,12.08679781,16.15925059,13.54192741,21.31240277,76.54320988,51.19119119,36.19766845,52.12981744,50.36042754,66.72710789,8.994488926,27.7115357,38.12013619,41.41358366,62.39027684,57.46527778,52.33082707,8.283671037,60.4964539,41.33016627,52.80867631,48.07377341,53.25966851,7.067891112,56.29296668,51.02543068,8.278128951,5.928926533,59.72540046,35.64120533,52.50521921,27.95493197,14.39761867,5.489058155,49.93590376,3.844715386,60.12874673,8.390022676,43.79310345,27.11180124,54.57627119,54.6473029,32.11651917,44.49660929,46.50502403,55.3873553,40.44284633,30.53715968,64.83858421,48.6381323,49.74823766,39.00219642,43.74625972,48.01010739,66.93300553,16.3434903,33.60881543,49.35064935,15.15390687,34.46534734,20.53973013,23.36204077,47.63485477,30.33175355,40.53465962,43.94091137,5.889625717,31.66235446,18.52264291,17.26973684,52.7027027,35.9375,50.10721138,42.48704663,16.1674549,56.16438356,26.5572015,40.71100917,51.77469136,2.901819275,55.13784461,34.58950202,53.40397351,20.62519154,16.9732069,67.41535367,22.35878661,15.09860838,44.55066922,55.56414219,19.17750141,48.8444722,20.4559848,7.260726073,49.61209469,12.07158351,1.843693914,59.06374502,54.79870902,2.5163827,66.24921069,7.542930509,30.64008395,10.8147714,14.42582247,36.1804996,29.6415264,50.65880721,44.54225352,22.73306886,8.360865395,46.6395112,28.23129252,2.139504421,33.88235294,65.19959058,9.243793616,6.369107322,61.37323297,5.534623879,33.28789531,57.54608295,13.65034303,54.06862745,9.797297297
PCT_AREA_COOLROOF,,,,,35.1338475,49.76910092,49.25159107,11.13020625,26.74660408,71.42952814,63.89239013,12.48339606,58.41201375,38.4801803,3.076042868,19.16943639,56.06171218,23.74500429,47.47060631,19.73631846,49.85900139,55.79913737,54.19984964,61.21285364,35.15804919,15.12739682,41.8371375,61.49428362,45.03032483,31.87320227,46.84163513,33.71629817,53.44957883,45.99798174,32.23409134,39.02609141,48.04567728,13.00420782,46.45682929,47.57418724,66.05295732,45.91733941,26.1736634,57.80082528,20.44468127,40.14960909,30.29491897,39.46692765,33.10570601,35.9692192,38.31599241,38.99285563,61.04483348,26.43655324,55.37571871,27.13261151,56.89856554,59.88149123,50.9693373,7.26017058,56.03317621,59.18106069,52.34406223,69.59069141,44.09574194,59.05213582,37.14597244,66.96489176,51.37749159,4.075863437,33.43964325,54.84639161,53.29247291,15.31483828,20.30669666,16.78721463,20.78550191,26.27863135,76.00326118,54.04280718,39.61690145,35.72411201,52.19694293,66.6388987,14.43870728,32.81349259,42.16071754,44.26813587,58.99966453,51.09533423,57.89025776,12.74250054,53.57667485,32.29226024,47.63611758,55.66118449,45.28980064,12.81974396,57.53218767,55.29549106,13.66601781,18.80764647,44.35189368,40.79347256,47.12528086,33.11779797,19.61248018,11.1041316,55.49468858,7.172756585,58.7836598,13.12939401,47.65400261,29.53262904,44.1632137,49.80051851,21.1458263,51.68815782,47.56236286,64.71649458,48.35456888,42.99426394,55.68728672,42.62956805,45.60423586,45.74467851,32.97029067,37.16371277,53.78502994,29.88436459,28.68206031,50.91131229,27.69848377,41.42471803,30.31156616,38.78930086,50.62081362,19.19607069,46.32812251,48.79736993,16.70826106,46.74145732,33.24820469,8.412048642,39.08854585,29.41636746,55.04885178,72.89308971,24.86471394,63.2818428,34.23035547,41.06362977,59.79635281,6.912548909,50.52296857,48.10079551,53.14445176,31.75412174,21.07157318,59.85363932,37.18083164,22.78942246,55.09240733,49.61649632,37.18994141,58.33650786,30.25526519,6.937150631,52.70051432,17.26847932,4.565671083,41.635563,52.34081445,5.221808226,58.99773535,15.57475898,20.20617129,15.8848174,17.85113898,44.36947478,47.36015348,58.43807877,43.29886199,31.52713861,14.65594055,45.26286182,30.22477696,4.526544786,45.72717633,57.65658562,13.27562777,12.15540957,64.74705344,17.53636503,40.34109397,48.50361037,28.4633147,55.37039233,13.44660664
HEAT_VULNERABILITY,,,,,2,2,5,1,3,1,4,1,2,2,,1,2,2,5,1,5,5,3,4,4,1,4,1,1,2,5,1,5,3,1,2,5,4,3,5,2,5,1,1,2,3,1,3,3,3,3,4,3,2,4,1,5,2,5,2,1,5,5,1,4,3,,3,4,1,1,5,4,5,2,,1,3,1,2,4,2,3,2,1,2,5,4,5,5,5,2,5,1,3,2,3,5,5,4,4,4,4,2,4,4,1,1,2,1,1,4,5,4,2,5,2,4,4,5,4,2,3,5,5,3,2,4,3,,2,2,1,3,4,3,4,2,4,5,1,2,3,2,3,1,2,,3,5,5,4,4,1,3,3,3,2,2,4,5,4,3,3,3,4,2,1,3,5,1,3,3,3,2,4,2,1,2,3,3,5,4,4,5,5,,1,,5,4,1,4,1,3,5,3,4,1
PCT_IMP,,,,,52.93207497,73.24957673,76.66041262,46.67804086,83.71521164,71.30506405,80.18032203,42.29589526,76.61368586,63.2139189,7.340310723,82.13798253,74.84837,42.36813862,82.39654114,52.42088076,75.06854377,79.49493124,78.36556308,83.98669891,66.43555451,51.2469987,63.52734644,62.84489023,48.49569367,59.42821395,78.7609646,51.81808438,80.14018976,78.98769706,24.70758013,75.25126644,69.8066175,63.27680666,73.21802286,74.49106479,79.09155494,73.34403256,74.21807279,55.23878801,61.02491476,45.03379683,58.55298645,67.95367232,69.00231349,65.98342971,62.98636469,71.78843295,75.15532336,61.3410488,75.5805425,60.38216035,70.70025138,76.20508349,74.43478664,96.35428061,68.42192507,74.24274849,70.58124766,69.14635476,70.66854771,83.5004533,18.12880205,79.83168512,81.85731616,45.46149817,76.03654271,82.84441599,79.95684689,58.1917181,48.46529666,12.69939601,51.43360791,62.48296441,56.68587995,76.5184231,76.42005481,72.10268705,75.53678384,80.83305041,47.93710315,59.77975477,74.89980219,71.53765378,73.04512971,75.95023979,85.07163567,52.08757078,74.29782592,67.68415947,82.11013581,84.32754283,76.90228658,64.21611544,78.08629985,72.91852982,66.64342274,64.07243052,72.32684264,62.11090111,87.84209507,72.65106346,40.13864831,51.78759739,79.45572604,49.91962244,77.31128509,61.06405485,75.51194157,67.59061241,60.79895889,79.66524534,85.86889608,80.44802418,82.42679722,84.44164827,75.25648387,56.73735963,86.69253979,75.93237646,75.39786193,75.67838155,88.20451433,81.68352624,67.94485505,29.66207091,90.08685511,72.30434775,34.22576931,76.89209414,62.95602321,70.7420056,68.75929122,84.4608985,61.1835261,63.30252399,27.93765098,67.18425732,50.95408503,85.11001295,77.01997167,80.26777103,80.96823528,61.75894231,68.79437152,86.73946318,60.94778805,71.27936966,75.48635581,44.4185079,72.23441651,54.45829411,61.74986948,59.46269152,56.55939375,87.19767607,79.42897812,75.0244499,76.74427113,78.74236139,54.86508093,82.30759751,56.69272088,84.43984554,76.4989853,68.30428032,42.70523387,66.07169088,79.67004848,43.0037202,75.56484037,56.8870668,78.94629402,54.14140042,61.44509678,70.24889227,68.59513675,82.57243789,64.92562197,77.3297714,60.37982496,76.02440432,71.24955403,31.98338311,18.32227618,80.38361898,60.84631388,48.55707534,78.47160565,36.11120468,79.26999529,70.53002838,48.61724765,63.61385613,48.27149076
PCT_PERMEABLE,,,,,14.15461177,9.083772533,2.696708373,32.49678693,1.09057902,4.930351594,3.306923369,24.12663318,8.726221066,9.142345803,70.48392871,0.899824787,5.850162431,17.88809167,7.694526929,15.6755554,5.772901467,5.68991475,8.017797513,2.601132583,9.48726657,25.10413066,16.6988672,5.012930274,27.00623042,19.76531937,4.854330867,31.47068486,5.650017886,4.124310376,52.47852269,5.128722296,11.85882965,17.35859446,4.250941189,6.036902715,6.498730416,6.605651472,7.423945027,23.58789524,17.73006227,31.06151992,21.85758439,6.453809177,11.07354347,13.86478477,11.50246941,4.162531152,2.642070418,14.42587478,4.68865447,19.65009683,4.813293035,3.88307305,7.587578547,0.740496864,9.950108965,3.936038058,6.986289077,11.67181411,10.37521877,3.46106692,51.71306883,2.943666715,3.340143164,15.71825966,1.966176498,3.163669055,4.737880078,18.68597676,44.66545126,36.21599714,23.92371008,13.33336295,5.465359371,4.25706175,5.018305752,3.553799391,5.192796072,3.529899724,20.18627868,15.01931395,7.950972941,5.605978003,3.002913664,8.723571079,1.866092252,20.50183083,3.596406812,3.982001108,4.226269535,2.838370174,1.84635179,14.99984451,5.026809803,8.50572282,14.16312285,19.82633119,5.813981911,19.07110947,3.089029562,9.628678965,25.76616652,27.7910687,5.404579591,22.44189202,8.975236842,16.50347589,5.56604279,11.26627562,6.037630668,3.151757669,2.763523386,6.90114936,3.671075112,3.165365228,5.451816397,7.343301577,3.034116487,2.53925646,6.246392567,8.462462839,1.366524037,2.452370616,6.095266764,30.2066207,1.982397076,9.379417222,13.92767169,3.943896105,17.07107502,4.906307443,6.390088878,1.591895333,30.31930285,23.06037715,23.5289076,18.87348184,25.73994087,2.88903475,3.681953212,2.427893272,5.503813938,35.17598465,9.329668546,1.25206423,13.22036494,6.505547432,5.742143282,32.65589935,3.300242003,23.43239524,15.64451502,17.32426125,17.402623,3.771449839,5.237431999,9.927058941,3.702589331,5.472251553,15.77963922,2.983888867,24.55223588,4.338862507,3.945610298,11.3694964,20.93749146,5.886614663,8.346033086,35.90317346,4.03945801,24.38194799,5.112098371,31.53520696,15.67581412,7.528669458,5.08070246,3.379851364,6.876164865,4.894811163,17.77604601,5.536251108,25.77437017,24.47489199,57.83425619,2.092928146,19.92762922,15.55363615,4.704644036,20.9188137,4.097243226,5.362560779,42.73887551,16.60531133,17.94988861
PCT_TREES,,,https://urban-heat-files.s3.amazonaws.com/NYC_Tree_Canopy_2_Feet.tif,,31.45088529,17.13061713,20.33836783,20.21517822,15.03830599,23.54451467,16.27702487,33.08264132,13.76817209,26.41070908,21.95738785,16.76581972,18.74818618,39.28132244,6.234980244,31.65266937,15.41631655,13.43080294,11.93200933,12.46033685,20.33785808,23.30738751,19.58757387,31.09222562,24.29451096,20.58740818,16.07633345,16.53974802,13.18693769,15.39438626,22.48423016,18.62513764,13.76877092,18.465633,16.45124747,18.22402608,14.03642734,18.15830967,18.18150023,20.63197369,21.01452651,23.70152062,18.96495829,25.29525861,17.9051349,18.71636065,23.63470207,22.46065767,20.72018063,23.58820694,17.58965606,19.7494113,19.55797917,19.10966266,14.57273984,2.860437957,21.42399797,21.01887581,19.79577463,16.28538396,13.9143274,11.48812407,29.47914139,14.74310671,13.39399856,38.6020206,21.79580805,11.8832788,14.37737733,22.60582712,6.368884305,50.3591437,24.4087449,23.94130551,37.64088516,18.57716698,17.38355627,24.1372417,16.07708838,14.69168519,31.65487967,24.9606214,15.90123144,21.39591046,23.18587299,12.41781124,12.2097923,27.1866395,21.68235901,28.13651288,13.01303269,11.32345102,21.06083585,19.22352182,15.44378053,17.40119657,18.24883791,15.63748178,20.27014538,18.61572612,8.559627095,17.5436238,33.86587287,19.80643506,14.93263734,27.11179631,13.4685629,21.65990732,17.77354277,20.52261549,32.47775362,15.57518101,9.926734249,11.75883171,12.93067317,12.22393877,18.90798095,32.50598915,10.1359616,20.64026185,17.86677143,15.17693223,10.16093867,15.72957469,24.69066241,39.42269248,7.830958711,15.06658788,50.06064493,18.19204487,19.50617346,23.3057114,23.17617713,13.80043684,7.982024373,12.82882072,48.37190985,13.78456139,22.03547893,11.86780752,19.13613819,17.13519563,13.04316688,3.032140424,21.66885013,10.43990472,25.0518124,19.10826419,16.94642078,22.3487486,24.21620623,18.80701083,15.05754407,22.12072656,25.5015852,7.737391136,9.673773238,14.3600311,18.79929561,15.31461195,28.91200386,13.99538744,17.78284752,11.09737406,16.22212152,19.5804757,36.06821017,27.81959339,7.577654781,20.61357169,19.71949709,18.22727671,15.78085718,13.74470303,22.46805813,20.55442502,25.38191144,13.75870765,27.41667037,14.66928987,20.71507591,14.6112375,2.414907976,43.0390835,23.67598095,17.33053814,19.02370023,35.63456982,16.36112831,42.52543756,16.19860432,22.66084703,7.638139438,19.21815621,33.5321799
AVG_DIST_TO_PARKS_FT,,,,,666.9767238,1274.236356,2230.593308,1425.729287,833.7792628,523.3594332,994.8891817,1151.622477,3768.711591,1488.585628,1693.734733,1092.281387,2875.254882,1283.080586,1244.647642,1831.649028,640.464621,1734.734951,624.0446358,1236.965154,3026.439282,1394.971089,1079.572352,414.4710771,970.6030879,880.7807052,1578.709962,1746.860037,1129.701105,2940.84389,1161.742905,2578.735223,640.3495383,4045.77887,938.4074874,1038.458826,1217.549224,1230.996426,1833.405726,559.674514,1979.237596,793.5308661,1922.707298,954.9278189,1609.85885,635.396357,938.3857451,1292.080106,1313.178493,1932.369637,1519.383682,1817.692249,746.3305822,555.8963742,1082.25833,1398.917371,871.8603893,1034.776206,653.0114632,2140.742595,1844.474799,2443.481587,2259.586869,1208.397279,2309.313549,728.3729676,1533.595369,887.3990316,1706.739196,1178.168135,4935.148113,222.26952,3352.755236,3438.57126,1525.932377,727.2083424,2896.372616,669.213002,1670.76113,3957.776459,1381.431858,2622.34182,3491.090968,1145.577706,2666.648426,509.5161055,979.237601,2684.567015,975.3774314,622.1649832,1461.980395,3545.576634,888.4098852,5209.734605,2366.030667,2792.919514,3608.048581,1236.899519,594.2519648,1368.839678,2031.910302,4180.288933,724.5264525,1705.351998,1403.973447,1641.35309,956.6677908,1142.540307,1326.324675,2052.024549,400.2886558,2163.068358,1008.22366,1816.016993,1053.507518,2441.057886,2589.113851,708.3569044,1351.715401,2659.299837,850.6075249,1568.186434,2006.339928,831.1279626,492.9664881,469.648963,1618.000583,597.5075075,1218.020293,2433.220261,2166.088824,2899.809771,372.348857,2224.044335,565.4436759,1656.959434,655.3974389,1393.558186,3556.768401,2083.758695,1720.87786,1261.022915,1620.299623,4899.817178,1452.676019,1398.19922,1395.896093,759.0937933,2099.538369,1461.863107,2865.008639,615.3733353,827.1798902,1340.064763,1772.036111,1900.120602,1673.290149,3161.640616,692.4695934,1229.312809,1468.67649,978.3408943,1062.552105,713.9030364,2078.667196,1792.446565,841.6583935,907.8688417,1783.024635,1514.475443,2144.419927,1249.151587,634.5951756,2196.845005,2011.763575,2240.821431,2316.909453,2039.075504,3514.812962,2777.854075,2807.252173,451.6720962,4723.0452,793.9301469,2332.797255,862.5552115,6143.807289,2228.320888,2292.689107,2250.116923,1001.878636,747.0367351,328.0395733,1829.009125,976.1344931
ST_20130601,20130601,surface_temp,https://urban-heat-files.s3.amazonaws.com/surfacetemp_20130601.geotiff,tda,103.3678818,103.7582092,110.549118,105.3969955,110.1746902,105.8842545,108.2644348,103.656311,107.9404373,106.7383194,93.90666962,108.2627563,109.7752533,104.0528183,113.8945847,106.6595001,113.3179016,109.512207,103.7456131,111.378418,111.3042984,104.5133362,109.5216293,104.66362,104.1614151,107.068367,110.1628647,106.1297379,112.8543472,111.7272263,101.1475983,108.7047806,112.9544983,108.4246216,111.5145187,112.2342529,107.4194183,110.131073,104.1693726,105.8095703,108.5067749,99.97924805,103.6690063,106.9218597,107.1964874,108.4968414,111.1235123,109.0353622,108.254097,109.1608582,107.7952576,107.7566147,109.9832153,106.5180893,111.8252182,107.671669,103.4708099,109.1739349,109.3226242,108.2090836,113.1637726,107.8996658,94.70104218,107.4782104,110.9470596,105.1088104,106.6248322,112.22435,111.6384659,107.7198029,98.78569794,96.75667572,106.9497452,108.6461868,106.3133698,108.2916489,109.8521576,105.5821457,111.0276108,108.7101135,107.2656326,108.1253357,112.5680542,109.994133,109.4574738,111.3894958,111.5827332,106.5945053,110.2342911,106.2344666,110.1117477,108.6570282,109.127449,109.5706253,111.2312775,111.017662,109.1897583,107.9909134,109.0624924,105.3546677,113.4808121,111.3800125,104.0504227,108.0532684,107.1792145,107.0778275,105.0844727,106.70504,113.6527939,112.5439377,105.3761215,112.3657761,110.6141586,113.2291718,111.222023,109.9043732,109.0278778,108.1128845,110.0285797,110.9061966,112.6793213,109.4657898,110.2466583,108.7684021,106.3050613,98.01706696,109.2994766,102.9750595,100.9851913,108.1559219,111.0734024,108.8660965,108.3102417,107.3787766,102.593277,106.8280334,99.68421173,108.403923,108.6811829,105.6489182,108.9368439,108.9836121,110.9255524,107.949501,108.148941,112.6420746,111.8767624,110.1939087,111.1557083,105.3350449,108.3498917,109.8482208,104.5800858,106.4245605,107.934082,108.8184509,111.3631897,109.0159149,107.6228561,108.3333435,105.8943176,111.1668472,108.8273773,99.19901276,112.3238678,109.7007904,105.0686646,107.5164795,112.6259003,104.6875381,108.7073975,101.3920441,106.4864502,102.2812195,109.149437,109.2880096,106.72966,109.7237778,110.9184799,109.5420456,108.0681839,112.7460327,110.0650101,100.6853409,93.79259491,110.3985825,108.007019,104.2810059,108.565239,101.7925339,109.4529114,110.1975632,98.72679138,104.9206543,105.7772903
ST_20140807,20140807,surface_temp,https://urban-heat-files.s3.amazonaws.com/surfacetemp_20140807.geotiff,tda,95.4577179,98.02397919,98.34367371,97.90601349,98.90788269,95.80519867,96.61901093,95.63246155,96.63478851,97.59967804,86.12376404,95.91133118,98.08361053,95.0302887,102.861557,98.54955292,100.8773575,100.7569733,98.43770599,98.72579193,100.6833801,98.50640106,99.58111572,93.9081955,97.18244934,98.66807556,100.3296509,97.62848663,100.2836761,100.2893982,92.09874725,99.36836243,101.6114807,102.2957001,99.96178436,100.0587463,97.36653137,100.2323837,94.70597839,96.51795959,99.67284393,95.35428619,95.57624054,96.77617645,100.9604874,99.18703461,99.72502899,97.11894989,96.33105469,99.32040405,98.91506195,98.88555908,98.17010498,94.6304245,101.1789551,95.13169861,95.61073303,97.09075165,97.30118561,96.58470917,102.2567825,98.19649506,89.67186737,96.67697906,100.0437775,95.9427948,96.75478363,99.7443161,100.0160751,101.4653702,98.3561554,87.59915924,99.76760864,99.65164948,97.45795441,98.31607056,99.67965698,95.18558502,98.89733124,94.30579376,96.87451935,99.40299988,101.0261688,99.21736908,97.26197052,99.38040161,99.24766541,99.82299805,98.4232254,94.08526611,98.70092773,98.24581146,96.80358124,101.099762,99.64130402,99.50489044,102.244072,102.1782379,97.42880249,98.35073853,101.6491165,100.0174484,93.9949646,100.1885834,97.77021027,98.01233673,97.37917328,100.5035858,100.47966,101.3230057,94.516716,100.2439117,98.47727966,101.4709702,100.4043121,99.29971313,100.3489685,97.33837891,98.12154388,99.95012665,99.74916077,99.65852356,97.9334259,97.35388947,95.20908356,90.19511414,97.16488647,98.70014191,91.50249481,100.5664215,101.1067734,99.31155396,97.55013275,96.74286652,99.98202515,100.7449036,90.66274261,98.89817047,98.42881012,95.76049805,98.13024902,97.16369629,99.15746307,100.7505951,99.46031189,99.6587677,101.0296173,98.5944519,99.04962921,97.02145386,97.04493713,96.27981567,98.68218231,98.68521118,98.96337891,99.4756012,102.5224304,102.5353088,97.56188965,96.26679993,96.62086487,98.70375061,100.0076828,90.7964325,99.16539001,102.1337585,95.59666443,96.99020386,100.2330093,98.03359985,97.59322357,98.99948883,95.10968018,97.93637848,100.664238,99.06903076,96.71308899,99.36333466,99.47919464,101.8394241,101.445282,100.5359802,104.9711609,92.24588776,90.13478851,98.07849121,101.9148788,96.42927551,97.42974091,92.66188049,99.87287903,98.60784149,97.89385986,98.3259201,97.64128876
ST_20160609,20160609,surface_temp,https://urban-heat-files.s3.amazonaws.com/surfacetemp_20160609.geotiff,tda,84.10134888,84.97042084,85.64748383,85.99461365,88.71012878,84.05796814,83.69948578,83.49826813,85.52375793,85.639534,74.37014771,85.42448425,85.79476929,84.49341583,87.8307724,86.49061584,87.91011047,87.2427597,85.87275696,85.57821655,87.58285522,86.5723877,86.32993317,81.21335602,84.51585388,85.88677216,87.84326935,84.77751923,87.42306519,87.62687683,80.11215973,86.36420441,88.22383881,89.30661774,85.92597961,86.96993256,84.55436707,87.5556488,84.09466553,84.00253296,87.82009888,82.24927521,82.44981384,85.01496887,88.23841858,86.52742767,86.51569366,85.30986023,83.87307739,87.4052887,85.2572937,86.4900589,84.75809479,81.9793396,87.59942627,86.01448822,83.60051727,84.93087006,84.76334381,82.8532486,88.58483124,85.18791962,76.97792816,83.82395172,86.81160736,84.48983002,86.01138306,87.0560379,86.73314667,88.26374817,81.59119415,75.83345795,86.89736938,87.52968597,85.9995575,84.98511505,87.67041016,83.20215607,86.62949371,83.70715332,85.65077209,86.72135162,87.5585022,85.35121155,84.57022095,86.11820984,86.35746002,86.83192444,86.28766632,82.98573303,85.84854889,85.37358856,85.85359192,88.78910828,87.13887787,84.64844513,89.06865692,88.92398071,84.71517181,85.12298584,86.99886322,87.86369324,83.20716858,87.16184998,85.45764923,86.41133118,84.69989014,87.97055054,88.25739288,88.49645233,83.08860779,86.96847534,87.33309174,87.96884155,87.98743439,86.09988403,87.30348206,84.51087952,83.98750305,86.84695435,86.95800018,86.28421021,87.06813812,86.43164825,82.21033478,78.2986908,86.29132843,86.36091614,79.38546753,88.01857758,89.69378662,86.93167877,83.97368622,86.62393951,85.57210541,86.37419891,79.12652588,85.52550507,86.01261902,86.82540894,86.45983887,86.39134979,86.1181488,85.62200165,87.05412292,86.22050476,87.02388763,84.78382111,85.62812042,85.33154297,85.03555298,81.63314819,84.78308868,87.74451447,86.80467987,84.79270935,88.5695343,89.49190521,85.41927338,85.18615723,84.95874786,84.80839539,86.20157623,80.37608337,87.14594269,88.81394196,84.24988556,85.39254761,87.33095551,86.03045654,84.7987442,85.50578308,84.25661469,84.66307831,88.50096893,87.40490723,84.63128662,85.50557709,86.35328674,88.88898468,88.27693939,87.2168045,89.43262482,80.98706818,77.10506439,86.28982544,88.79833984,84.66619873,84.51800537,81.15543365,87.02645111,86.4855423,82.46469879,84.61907959,85.1783905
